Id , Brand , Title, Type_THC , Price, Amount, Image Link 
29,Ceres,Salted Caramel Balls Indica,$22,Indica,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Ceres%20Salted%20Caramel%20Balls.jpg?tr=w-320
30,Ceres,Salted Caramel Balls Sativa,$4 - $22,Sativa,(Single - 10pk),https://ik.imagekit.io/qxmwvn2y0qb/Ceres%20Salted%20Caramel%20Balls.jpg?tr=w-320
31,Ceres,Sativa Cookies n' Cream Chocolate Bites,$25,Sativa,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/satori%2FCeresCookiesNCream.png-a695da5b-22c-498a-9b84-643489edc560?tr=w-320
32,Ceres,Sativa Malt Balls,$22,Sativa,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Ceres%20Sativa%20Malt%20Balls.jpg?tr=w-320
33,Constellation Cannabis,Space Capsules 100mg,$25,Hybrid,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FCTA+Space+Caps.jpg-c77bb290-b85e-40ab-8a22-221bf2e239e1?tr=w-320
34,Fairwinds,CBD Deeper Sleep,$32,High CBD,(15pk),https://ik.imagekit.io/qxmwvn2y0qb/FairwindsDeeperSleepCapsules.jpg?tr=w-320
35,Fairwinds,CBD FECO 10:1 ,$39,High CBD,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Fairwinds%20FECO%2010-1%20CBD-THC%20Capsules.jpg?tr=w-320
36,Fairwinds,CBD Ratio 10:1,$30,High CBD,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Fairwinds%20Ratio%2010-1%20Capsules.jpg?tr=w-320
37,Fairwinds,CBD Ratio 1:1,$30,High CBD,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Fairwinds%20Ratio%201-1%20Capsules.jpg?tr=w-320
38,Fairwinds,CBD Ratio 20:1,$30,High CBD,(15pk),https://ik.imagekit.io/qxmwvn2y0qb/Fairwinds%20Ratio%2020-1%20Capsules%20Pkg.jpg?tr=w-320
39,Fairwinds,CBD Ratio 5:1,$30,High CBD,(15pk),https://ik.imagekit.io/qxmwvn2y0qb/Fairwinds%20Ratio%205-1%20Capsules.jpg?tr=w-320
40,Fairwinds,FECO 2:1 CBD:THC,$39,High CBD,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Fairwinds%20FECO%202-1%20CBD-THC%20Capsules.jpg?tr=w-320
41,Fairwinds,Lifestyle Indica,$28,Indica,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Fairwinds%20Lifestyle%20Indica%20Capsules.jpg?tr=w-320
42,Fairwinds,Lifestyle Sativa,$28,Sativa,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Fairwinds%20Lifestyle%20Sativa%20Capsules.jpg?tr=w-320
43,Flav,Apple Sour Belt Bites,$22,Hybrid,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/FlavEdibleCandyHyridApplebelts.jpg?tr=w-320
44,Flav,CBD Rainbow Sour Belt Bites 1:1,$28,Hybrid,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Phat%20N%20Sticky%20Flav%20Rainbow%20Belts.jpg?tr=w-320
45,Flav,Mango Sour Belt Bites,$22,Hybrid,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Phat%20N%20Sticky%20Flav%20Mango%20Belts.jpg?tr=w-320
46,Flav,Pink Lemonade Sour Belt Bites,$22,Hybrid,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/FlavEdibleCandyHyridBeltsPinkLemonade.jpg?tr=w-320
47,Flav,Rainbow Sour Belt Bites,$22,Hybrid,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Phat%20N%20Sticky%20Flav%20Rainbow%20Belts.jpg?tr=w-320
48,Flav,Watermelon Sour Belt Bites,$22,Hybrid,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Phat%20N%20Sticky%20Flav%20Watermelon%20Belts.jpg?tr=w-320
49,Green Revolution,CBD Fast Tabs Remarkable Nighttime Tablets,$54,High CBD,(50pk),https://ik.imagekit.io/qxmwvn2y0qb/Green+Revolution+Fast+Tabs+Nighttime+Capsule+Edible.jpg?tr=w-320
50,Green Revolution,CBD Fast Tabs Vitality Tablets,$54,High CBD,(50pk),https://ik.imagekit.io/qxmwvn2y0qb/Green+Revolution+Vitality+Fast+Tabs+Capsule+Edible.jpg?tr=w-320
51,Green Revolution,CBD Happiest Self Fast Tabs,$54,High CBD,(50pk),https://ik.imagekit.io/qxmwvn2y0qb/Green+Revolution+Fast+Tabs+Happiest+Self+Edible+Capsule.jpg?tr=w-320
52,Hellavated,Mango Dragon Gummiez,$22,Hybrid,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/greentheory%2Fhellavated+gummmies.jpg-553cba35-65d8-4197-acee-f7e571a093ca?tr=w-320
53,Hellavated,Raspberry Blitz Gummiez,$22,Hybrid,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/greentheory%2Fhellavated+gummmies.jpg-553cba35-65d8-4197-acee-f7e571a093ca?tr=w-320
54,Hellavated,Strawberry Haze Gummiez,$22,Hybrid,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/greentheory%2Fhellavated+gummmies.jpg-553cba35-65d8-4197-acee-f7e571a093ca?tr=w-320
55,Hellavated,Water 'Yer Melon Gummiez,$22,Hybrid,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/greentheory%2Fhellavated+gummmies.jpg-553cba35-65d8-4197-acee-f7e571a093ca?tr=w-320
56,Honu,Blackberry Lemon,$24,Hybrid,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Honu%20Blackberry%20Lemon%20Chocolates.jpg?tr=w-320
57,Honu,CBD Peanut Butter Cup ,$33,High CBD,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Honu+Peanut+Butter+Cups+Edibles+Chocolate.jpg?tr=w-320
58,Honu,Chocolate Caramel Indica,$30,Indica,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Honu%20Chocolate%20Caramels.jpg?tr=w-320
59,Honu,Chocolate Caramel Sativa,$30,Sativa,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Honu%20Chocolate%20Caramels.jpg?tr=w-320
60,Honu,Chocolate Turtles Indica,$30,Indica,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Honu%20Chcolate%20Turtles.jpg?tr=w-320
61,Honu,Chocolate Turtles Sativa,$30,Sativa,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Honu%20Chcolate%20Turtles.jpg?tr=w-320
62,Honu,Cookies N Cream,$24,Hybrid,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FHonu+Cookies-and-Cream-single.jpg-fbb44248-351-46db-95ba-6ca2641e1f1f?tr=w-320
63,Honu,Dark Chocolate,$24,Hybrid,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Honu%20Dark%20Chocolate.jpg?tr=w-320
64,Honu,Dark Chocolate Peppermint,$24,Hybrid,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FHONU+Dark+mint.jpeg-59dc2c8e-cdfc-4d60-93f0-871e8e77946b?tr=w-320
65,Honu,Gimme Sa'More!,$30,Hybrid,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Honu%20Gimme%20Sa%27more.jpg?tr=w-320
66,Honu,Milk Chocolate,$24,Hybrid,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2Fmilk+choc.jpeg-f24a153-8d91-41dd-a574-ca9054c8ecf2?tr=w-320
67,Honu,Milk Chocolate Toffee Crunch,$24,Hybrid,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Honu+Toffee.jpg?tr=w-320
68,Honu,Orange Dreamsicle,$24,Hybrid,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/honuorange.png?tr=w-320
69,Honu,Peanut Butter Cup Indica,$30,Indica,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Honu+Peanut+Butter+Cups+Edibles+Chocolate.jpg?tr=w-320
70,Honu,Peanut Butter Cup Sativa,$30,Sativa,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Honu+Peanut+Butter+Cups+Edibles+Chocolate.jpg?tr=w-320
71,Hot Sugar,Blue Raspberry Fruit Drops,$20,Hybrid,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/blueraspberry.png?tr=w-320
72,Hot Sugar,Blue Raspberry Panda Candies,$18,Hybrid,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Hot%20Sugar%20Panda%20Candies%20Blue%20Raspberry.jpg?tr=w-320
