Id , Brand , Title, Type_THC , Price, Amount, Image Link 
58,Exotikz,Mimosa,$50 - $95,Hybrid,(3.50g - 7g),https://ik.imagekit.io/qxmwvn2y0qb/Exotikz+Flower.jpg?tr=w-320
59,Fainting Goat,Sundae Driver,$75,Indica Hybrid,(14g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FFainting+Goat+Flower.jpg-3f6521a-1a69-4b32-a0ee-f981ccdb8e9a?tr=w-500
60,Fifty Fold,Tropaya,$14 - $45,Hybrid,(1g - 3.50g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FTropaya.jpeg-c54cd43d-f1c7-4b52-b1b3-889ee3ae812a?tr=w-320
61,Funky Monkey,Unrivaled OG,$25,Hybrid,(3.50g),https://ik.imagekit.io/qxmwvn2y0qb/Funky+Monkey+Cannabis+Co+WA+flower+jars.jpg?tr=w-500
62,Gabriel,Cookies,$48,Hybrid,(3.50g),https://ik.imagekit.io/qxmwvn2y0qb/Gabriel%20Cookies%20Flower.jpg?tr=w-320
63,Gabriel,Frosted Lemons,$48,Sativa Hybrid,(3.50g),https://ik.imagekit.io/qxmwvn2y0qb/Gabriel+Cannabis+Green+Lid+Flower.jpg?tr=w-320
64,Gabriel,Sherbet,$48,Indica Hybrid,(3.50g),https://ik.imagekit.io/qxmwvn2y0qb/GabrielSherbertFlowerPkg.jpg?tr=w-320
65,Giant,Cookie Kush,$100,Hybrid,(28g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FGiant+Flower.jpg-dd49251c-fcb2-4ae-8dff-ebfe8e91c76f?tr=w-320
66,Giant,Cookies N' Cream,$100,Hybrid,(28g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FGiant+Flower.jpg-dd49251c-fcb2-4ae-8dff-ebfe8e91c76f?tr=w-320
67,Giant,Nigerian Fire,$100,Sativa,(28g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FGiant+Sativa.jpg-4160e3db-af7f-433d-b731-d070edc62b67?tr=w-320
68,Giant,Sour Skunk,$100,Sativa,(28g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FGiant+Sativa.jpg-4160e3db-af7f-433d-b731-d070edc62b67?tr=w-320
69,Gold Leaf Gardens,Icicles,$48 - $95,Hybrid,(3.50g - 7g),https://ik.imagekit.io/qxmwvn2y0qb/Gold%20Leaf%20Flower%20Jar.jpg?tr=w-320
70,Gold Leaf Gardens,Kanaka Kush,$95,Hybrid,(7g),https://ik.imagekit.io/qxmwvn2y0qb/Gold%20Leaf%20Flower%20Jar.jpg?tr=w-320
71,High Rise Cannabis,Blue Dream,$32 - $200,Sativa,(3.50g - 28g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FHigh-Rise.jpg-795a1117-90fd-44f8-94de-e42c814ae967?tr=w-500
72,High Rise Cannabis,Blue Dream (Popcorn & Shake),$40,Sativa,(10g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FHigh-Rise.jpg-795a1117-90fd-44f8-94de-e42c814ae967?tr=w-500
73,High Rise Cannabis,LSD,$32 - $200,Hybrid,(3.50g - 28g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FHigh-Rise.jpg-795a1117-90fd-44f8-94de-e42c814ae967?tr=w-500
74,High Rise Cannabis,OG Kush,$32 - $200,Hybrid,(3.50g - 28g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FHigh-Rise.jpg-795a1117-90fd-44f8-94de-e42c814ae967?tr=w-500
75,High Rise Cannabis,OG Kush (Popcorn & Shake),$40,Hybrid,(10g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FHigh-Rise.jpg-795a1117-90fd-44f8-94de-e42c814ae967?tr=w-500
76,High Rise Cannabis,Opal Alias,$18 - $120,Hybrid,(3.50g - 28g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FHigh-Rise.jpg-795a1117-90fd-44f8-94de-e42c814ae967?tr=w-500
77,High Rise Cannabis,Platinum Kush Breath,$32 - $200,Indica Hybrid,(3.50g - 28g),https://ik.imagekit.io/qxmwvn2y0qb/greentheory%2FHigh-Rise.jpg-4b64b950-d884-478d-afc4-d05e2dab5bd2?tr=w-320
